Province,Gender,Occupation,Employment
Manitoba,Male,"5 Occupations in art, culture, recreation and sport",7875
Manitoba,Female,"5 Occupations in art, culture, recreation and sport",9970
Saskatchewan,Total,"5 Occupations in art, culture, recreation and sport",13075
Saskatchewan,Male,"5 Occupations in art, culture, recreation and sport",4935
Saskatchewan,Female,"5 Occupations in art, culture, recreation and sport",8140
Alberta,Total,"5 Occupations in art, culture, recreation and sport",59950
Alberta,Male,"5 Occupations in art, culture, recreation and sport",24240
Alberta,Female,"5 Occupations in art, culture, recreation and sport",35710
British Columbia,Total,"5 Occupations in art, culture, recreation and sport",125490
British Columbia,Male,"5 Occupations in art, culture, recreation and sport",58695
British Columbia,Female,"5 Occupations in art, culture, recreation and sport",66795
Yukon,Total,"5 Occupations in art, culture, recreation and sport",925
Yukon,Male,"5 Occupations in art, culture, recreation and sport",415
Yukon,Female,"5 Occupations in art, culture, recreation and sport",510
Northwest Territories,Total,"5 Occupations in art, culture, recreation and sport",605
Northwest Territories,Male,"5 Occupations in art, culture, recreation and sport",250
Northwest Territories,Female,"5 Occupations in art, culture, recreation and sport",360
Nunavut,Total,"5 Occupations in art, culture, recreation and sport",530
Nunavut,Male,"5 Occupations in art, culture, recreation and sport",235
Nunavut,Female,"5 Occupations in art, culture, recreation and sport",295
Canada,Total,6 Sales and service occupations,5226370
Canada,Male,6 Sales and service occupations,2316525
Canada,Female,6 Sales and service occupations,2909845
Newfoundland and Labrador,Total,6 Sales and service occupations,68155
Newfoundland and Labrador,Male,6 Sales and service occupations,27230
Newfoundland and Labrador,Female,6 Sales and service occupations,40925
Prince Edward Island,Total,6 Sales and service occupations,22405
Prince Edward Island,Male,6 Sales and service occupations,9080
Prince Edward Island,Female,6 Sales and service occupations,13325
Nova Scotia,Total,6 Sales and service occupations,141360
Nova Scotia,Male,6 Sales and service occupations,60170
Nova Scotia,Female,6 Sales and service occupations,81190
New Brunswick,Total,6 Sales and service occupations,114365
New Brunswick,Male,6 Sales and service occupations,48225
New Brunswick,Female,6 Sales and service occupations,66140
Quebec,Total,6 Sales and service occupations,1207455
Quebec,Male,6 Sales and service occupations,563310
Quebec,Female,6 Sales and service occupations,644140
Ontario,Total,6 Sales and service occupations,1978335
Ontario,Male,6 Sales and service occupations,877765
Ontario,Female,6 Sales and service occupations,1100565
Manitoba,Total,6 Sales and service occupations,179225
Manitoba,Male,6 Sales and service occupations,78815
Manitoba,Female,6 Sales and service occupations,100410
Saskatchewan,Total,6 Sales and service occupations,149310
Saskatchewan,Male,6 Sales and service occupations,63475
Saskatchewan,Female,6 Sales and service occupations,85835
Alberta,Total,6 Sales and service occupations,601000
Alberta,Male,6 Sales and service occupations,255480
Alberta,Female,6 Sales and service occupations,345515
British Columbia,Total,6 Sales and service occupations,750540
British Columbia,Male,6 Sales and service occupations,326530
British Columbia,Female,6 Sales and service occupations,424010
Yukon,Total,6 Sales and service occupations,5335
Yukon,Male,6 Sales and service occupations,2440
Yukon,Female,6 Sales and service occupations,2895
Northwest Territories,Total,6 Sales and service occupations,5055
Northwest Territories,Male,6 Sales and service occupations,2280
Northwest Territories,Female,6 Sales and service occupations,2780
Nunavut,Total,6 Sales and service occupations,3825
Nunavut,Male,6 Sales and service occupations,1710
Nunavut,Female,6 Sales and service occupations,2120
Canada,Total,"7 Trades, transport and equipment operators and related occupations",3526800
Canada,Male,"7 Trades, transport and equipment operators and related occupations",3204945
Canada,Female,"7 Trades, transport and equipment operators and related occupations",321855
Newfoundland and Labrador,Total,"7 Trades, transport and equipment operators and related occupations",54575
Newfoundland and Labrador,Male,"7 Trades, transport and equipment operators and related occupations",50230
Newfoundland and Labrador,Female,"7 Trades, transport and equipment operators and related occupations",4345
Prince Edward Island,Total,"7 Trades, transport and equipment operators and related occupations",15570
Prince Edward Island,Male,"7 Trades, transport and equipment operators and related occupations",14380
Prince Edward Island,Female,"7 Trades, transport and equipment operators and related occupations",1185
Nova Scotia,Total,"7 Trades, transport and equipment operators and related occupations",89775
Nova Scotia,Male,"7 Trades, transport and equipment operators and related occupations",82710
Nova Scotia,Female,"7 Trades, transport and equipment operators and related occupations",7065
New Brunswick,Total,"7 Trades, transport and equipment operators and related occupations",75675
New Brunswick,Male,"7 Trades, transport and equipment operators and related occupations",70425
New Brunswick,Female,"7 Trades, transport and equipment operators and related occupations",5255
Quebec,Total,"7 Trades, transport and equipment operators and related occupations",762630
Quebec,Male,"7 Trades, transport and equipment operators and related occupations",700360
Quebec,Female,"7 Trades, transport and equipment operators and related occupations",62270
Ontario,Total,"7 Trades, transport and equipment operators and related occupations",1278455
Ontario,Male,"7 Trades, transport and equipment operators and related occupations",1153435
Ontario,Female,"7 Trades, transport and equipment operators and related occupations",125020
Manitoba,Total,"7 Trades, transport and equipment operators and related occupations",134415
Manitoba,Male,"7 Trades, transport and equipment operators and related occupations",124430
Manitoba,Female,"7 Trades, transport and equipment operators and related occupations",9990
Saskatchewan,Total,"7 Trades, transport and equipment operators and related occupations",114350
Saskatchewan,Male,"7 Trades, transport and equipment operators and related occupations",104545
Saskatchewan,Female,"7 Trades, transport and equipment operators and related occupations",9805
Alberta,Total,"7 Trades, transport and equipment operators and related occupations",477810
Alberta,Male,"7 Trades, transport and equipment operators and related occupations",430740
Alberta,Female,"7 Trades, transport and equipment operators and related occupations",47060
British Columbia,Total,"7 Trades, transport and equipment operators and related occupations",511120
British Columbia,Male,"7 Trades, transport and equipment operators and related occupations",462275
British Columbia,Female,"7 Trades, transport and equipment operators and related occupations",48845
Yukon,Total,"7 Trades, transport and equipment operators and related occupations",4805
Yukon,Male,"7 Trades, transport and equipment operators and related occupations",4355
Yukon,Female,"7 Trades, transport and equipment operators and related occupations",445
Northwest Territories,Total,"7 Trades, transport and equipment operators and related occupations",4580
Northwest Territories,Male,"7 Trades, transport and equipment operators and related occupations",4235
Northwest Territories,Female,"7 Trades, transport and equipment operators and related occupations",350
Nunavut,Total,"7 Trades, transport and equipment operators and related occupations",3035
Nunavut,Male,"7 Trades, transport and equipment operators and related occupations",2820
Nunavut,Female,"7 Trades, transport and equipment operators and related occupations",215
Canada,Total,"8 Natural resources, agriculture and related production occupations",617425
Canada,Male,"8 Natural resources, agriculture and related production occupations",472910
Canada,Female,"8 Natural resources, agriculture and related production occupations",144515
Newfoundland and Labrador,Total,"8 Natural resources, agriculture and related production occupations",13660
Newfoundland and Labrador,Male,"8 Natural resources, agriculture and related production occupations",10905
Newfoundland and Labrador,Female,"8 Natural resources, agriculture and related production occupations",2750
Prince Edward Island,Total,"8 Natural resources, agriculture and related production occupations",7685
Prince Edward Island,Male,"8 Natural resources, agriculture and related production occupations",6040
Prince Edward Island,Female,"8 Natural resources, agriculture and related production occupations",1645
Nova Scotia,Total,"8 Natural resources, agriculture and related production occupations",20710
Nova Scotia,Male,"8 Natural resources, agriculture and related production occupations",17075
Nova Scotia,Female,"8 Natural resources, agriculture and related production occupations",3640
New Brunswick,Total,"8 Natural resources, agriculture and related production occupations",16735
New Brunswick,Male,"8 Natural resources, agriculture and related production occupations",13740
New Brunswick,Female,"8 Natural resources, agriculture and related production occupations",2990
Quebec,Total,"8 Natural resources, agriculture and related production occupations",99600
Quebec,Male,"8 Natural resources, agriculture and related production occupations",79010
Quebec,Female,"8 Natural resources, agriculture and related production occupations",20590
Ontario,Total,"8 Natural resources, agriculture and related production occupations",168470
Ontario,Male,"8 Natural resources, agriculture and related production occupations",126660
Ontario,Female,"8 Natural resources, agriculture and related production occupations",41815
Manitoba,Total,"8 Natural resources, agriculture and related production occupations",33805
Manitoba,Male,"8 Natural resources, agriculture and related production occupations",26205
Manitoba,Female,"8 Natural resources, agriculture and related production occupations",7600
Saskatchewan,Total,"8 Natural resources, agriculture and related production occupations",60220
Saskatchewan,Male,"8 Natural resources, agriculture and related production occupations",46425
Saskatchewan,Female,"8 Natural resources, agriculture and related production occupations",13795
Alberta,Total,"8 Natural resources, agriculture and related production occupations",111490
Alberta,Male,"8 Natural resources, agriculture and related production occupations",86110
Alberta,Female,"8 Natural resources, agriculture and related production occupations",25375
British Columbia,Total,"8 Natural resources, agriculture and related production occupations",83150
British Columbia,Male,"8 Natural resources, agriculture and related production occupations",59185
British Columbia,Female,"8 Natural resources, agriculture and related production occupations",23965
Yukon,Total,"8 Natural resources, agriculture and related production occupations",860
Yukon,Male,"8 Natural resources, agriculture and related production occupations",640
Yukon,Female,"8 Natural resources, agriculture and related production occupations",230
Northwest Territories,Total,"8 Natural resources, agriculture and related production occupations",685
Northwest Territories,Male,"8 Natural resources, agriculture and related production occupations",590
Northwest Territories,Female,"8 Natural resources, agriculture and related production occupations",95
Nunavut,Total,"8 Natural resources, agriculture and related production occupations",340
Nunavut,Male,"8 Natural resources, agriculture and related production occupations",320
Nunavut,Female,"8 Natural resources, agriculture and related production occupations",25
Canada,Total,9 Occupations in manufacturing and utilities,937355
Canada,Male,9 Occupations in manufacturing and utilities,664465
Canada,Female,9 Occupations in manufacturing and utilities,272895
Newfoundland and Labrador,Total,9 Occupations in manufacturing and utilities,11155
Newfoundland and Labrador,Male,9 Occupations in manufacturing and utilities,7680
Newfoundland and Labrador,Female,9 Occupations in manufacturing and utilities,3475
Prince Edward Island,Total,9 Occupations in manufacturing and utilities,4670
Prince Edward Island,Male,9 Occupations in manufacturing and utilities,3045
Prince Edward Island,Female,9 Occupations in manufacturing and utilities,1620
Nova Scotia,Total,9 Occupations in manufacturing and utilities,21655
Nova Scotia,Male,9 Occupations in manufacturing and utilities,16050
Nova Scotia,Female,9 Occupations in manufacturing and utilities,5605
New Brunswick,Total,9 Occupations in manufacturing and utilities,21680
New Brunswick,Male,9 Occupations in manufacturing and utilities,15775
New Brunswick,Female,9 Occupations in manufacturing and utilities,5900
Quebec,Total,9 Occupations in manufacturing and utilities,227185
Quebec,Male,9 Occupations in manufacturing and utilities,163635
Quebec,Female,9 Occupations in manufacturing and utilities,63550
